Acetic acid,60.052 g/mol,CH3COOH
Hydrochloric acid,36.458 g/mol,HCl
Sulfuric acid,98.072 g/mol,H2SO4
Acetate,59.044 g/mol,CH3COO–
Ammonia,17.031 g/mol,NH3
Nitric acid,63.012 g/mol,HNO3
Phosphoric acid,97.994 g/mol,H3PO4
Sodium phosphate,119.976 g/mol,Na3PO4
Calcium carbonate,100.086 g/mol,CaCO3
Ammonium sulfate,132.134 g/mol,(NH4)2SO4
Carbonic acid,62.024 g/mol,H2CO3
Sodium bicarbonate,84.0066 g/mol,NaHCO3
Sodium hydroxide,39.997 g/mol,NaOH
Calcium hydroxide,74.092 g/mol,Ca(OH)2
Ethanol,46.069 g/mol,C2H5OH
Hydrobromic acid,80.912 g/mol,HBr
Nitrous acid,47.013 g/mol,HNO2
Potassium hydroxide,56.11 g/mol,KOH
Silver nitrate,169.872 g/mol,AgNO3
Sodium carbonate,105.988 g/mol,Na2CO3
Sodium chloride,58.44 g/mol,NaCl
Cellulose,162.1406 g/mol,(C6H10O5)n
Magnesium hydroxide,58.319 g/mol,Mg(OH)2
Methane,16.043 g/mol,CH4
Nitrogen dioxide,30.006 g/mol,NO2
Sodium nitrate,84.994 g/mol,NaNO3
Sulfurous acid,82.073 g/mol,H2SO3
Aluminium sulfate,342.15 g/mol,Al2(SO4)3
Aluminum oxide,101.96 g/mol,Al2O3
Ammonium nitrate,80.043 g/mol,NH4NO3
Ammonium phosphate,132.056 g/mol,(NH4)3PO4
Barium hydroxide,171.341 g/mol,Ba(OH)2
Carbon tetrachloride,153.811 g/mol,CCl4
Citric acid,192.123 g/mol,C6H8O7
Hydrocyanic acid,27.026 g/mol,HCN
Salicylic Acid,138.121 g/mol,C7H6O3
Hydroiodic acid,127.91 g/mol,HI
Hypochlorous acid,52.457 g/mol,HClO
Magnesium phosphate,262.855 g/mol,Mg3(PO4)2
Sodium acetate,82.0343 g/mol,C2H3NaO2
Sodium sulfate,142.036 g/mol,Na2SO4
Sucrose,342.2965 g/mol,C12H22O11
Potassium nitrate,101.102 g/mol,KNO3
Ammonium bicarbonate,96.086 g/mol,NH4HCO3
Ammonium chloride,53.489 g/mol,NH4Cl
Ammonium hydroxide,35.046 g/mol,NH4OH
Calcium nitrate,164.088 g/mol,Ca(NO3)2
Calcium oxide,56.0774 g/mol,CaO
Carbon monoxide,28.01 g/mol,CO
Chlorine gas,70.9 g/mol,Cl2
Phenol,94.11 g/mol,C6H6O
Hydrogen peroxide,34.0147 g/mol,H2O2
Hydroxide,17.007 g/mol,OH–
Magnesium chloride,95.211 g/mol,MgCl2
Potassium chloride,74.5513 g/mol,KCl
Potassium iodide,166.0028 g/mol,KI
Sulfur dioxide,64.066 g/mol,SO2
Glycerin,92.09 g/mol,C3H8O3
Barium nitrate,261.337 g/mol,Ba(NO3)2
Calcium acetate,158.17 g/mol,C4H6O4Ca
Iron oxide,159.69 g/mol,Fe2O3
Potassium carbonate,138.205 g/mol,K2CO3
Silver chloride,143.318 g/mol,AgCl
Sodium iodide,149.894 g/mol,NaI
Sodium oxide,61.9789 g/mol,Na2O
Sodium sulfide,78.0452 g/mol,Na2S
Zinc nitrate,189.388 g/mol,Zn(NO3)2
Phenolphthalein,318.32 g/mol,C20H14O4
Magnesium nitrate,148.313 g/mol,Mg(NO3)2
Silicon dioxide,60.083 g/mol,SiO2
Acetone,58.08 g/mol,C3H6O
Hydroquinone,110.11 g/mol,C6H6O2
Pyridine,79.1 g/mol,C5H5N
Ammonium acetate,77.083 g/mol,C2H3O2NH4
Xylene,106.16 g/mol,C8H10
Barium sulfate,233.38 g/mol,BaSO4
Benzene,78.11 g/mol,C6H6
Bicarbonate,61.016 g/mol,CHO3–
Chromate,15.992 g/mol,CrO42-
Methyl Ethyl Ketone,72.107 g/mol,C4H8O
Cyanide,26.02 g/mol,CN−
Trichloroacetic acid,163.38 g/mol,C2HCl3O2
Magnesium sulfate,120.361 g/mol,MgSO4
Methanol,32.04 g/mol,CH3OH
Oxygen,Atomic mass 15.999 g/mol,O
Methylene blue,319.85 g/mol,C16H18ClN3S
Sodium sulfite,126.043 g/mol,Na2SO3
